Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Target
443,10454118,7,6,667,4608,517,0,95.2857142857,191.3780850269,1460,0,768.0,745.8997251642,504.5858483709,1.243529105,871176.5,2890514.90048892,10048552,58,10454118,1742353.0,4069699.19621212,10048552,6305,239577,47915.4,63379.2299400995,117970,154,0,0,0,0,152,132,0.669592595,0.57393651,0,1460,376.7857142857,595.9181898642,355118.489010989,0,0,0,1,0,0,0,0,0,405.7692307692,95.2857142857,768.0,152,0,0,0,0,0,0,7,667,6,4608,8192,237,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,819716,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,14191.50047,9.759477673,117102.2857,309311.2736,818554,5,957,478.5,525.3803384,850,107,819703,204925.75,409085.7031,818554,5,0,0,0,0,72,112,3.659804127,6.099673545,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1
80,99044774,6,6,330,11595,330,0,55.0,134.7219359,5792,0,1932.5,2181.008184,120.400093,0.121157326,9004070.364,29900000.0,99000000,1,99000000,19800000.0,44300000.0,99000000,1,38550,7710.0,11900.93032,27247,46,0,0,0,0,200,200,0.060578663,0.060578663,0,5792,917.3076923,1716.617963,2946777.231,0,0,0,0,1,0,0,0,1,993.75,55.0,1932.5,200,0,0,0,0,0,0,6,330,6,11595,274,235,1,32,2.0,0.0,2,2,99000000.0,0.0,99000000,99000000,DoS Hulk,1
80,3000911,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.997571404,1.332928567,1000303.667,1731717.746,2999919,4,3000911,1000303.667,1731717.746,2999919,4,0,0.0,0.0,0,0,0,0,0,0,80,0,1.332928567,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1
80,46174326,8,8,1025,588,1025,0,128.125,362.3922254,588,0,73.5,207.8893937,34.93283259,0.346512908,3078288.4,4575860.74,10000000,42,40200000,5745659.571,5320134.204,10000000,15336,46200000,6594150.429,4692509.083,10000000,9016,0,0,0,0,180,172,0.173256454,0.173256454,0,1025,94.88235294,278.7610721,77707.73529,0,0,0,1,0,0,0,0,1,100.8125,128.125,73.5,180,0,0,0,0,0,0,8,1025,8,588,29200,31,1,20,55162.5,79926.35182,175052,15126,9999741.75,2114.514818,10000000,9996571,BENIGN,0
53,44166,2,2,84,204,42,42,42.0,0.0,102,102,102.0,0.0,6520.8531449531,90.567404791,14722.0,25494.0558366063,44160,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,45.2837023955,45.2837023955,42,102,66.0,32.8633534503,1080.0,0,0,0,0,0,0,0,0,1,82.5,42.0,102.0,64,0,0,0,0,0,0,2,84,2,204,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,614445,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,18932.53261,13.01987973,87777.85714,231760.4992,613361,4,801,400.5,514.0666299,764,37,614367,153591.75,306513.0247,613361,4,0,0,0,0,72,112,4.882454898,8.137424831,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1
443,5808445,8,7,621,4673,342,0,77.625,126.782082443,1460,2,667.5714285714,744.4241302606,911.4315449316,2.582446765,414888.928571429,1400312.3673446,5271995,2,5808445,829777.857142857,1963423.61055847,5271995,3,160326,26721.0,40079.8547153055,78632,2,0,0,0,0,172,144,1.3773049413,1.2051418237,0,1460,330.875,568.8370446212,323575.583333333,0,0,0,1,0,0,0,0,0,352.9333333333,77.625,667.5714285714,172,0,0,0,0,0,0,8,621,7,4673,8192,34942,7,20,536447.0,0.0,536447,536447,5271995.0,0.0,5271995,5271995,BENIGN,0
80,85594169,7,6,311,11595,305,0,44.42857143,114.9229556,4344,0,1932.5,1977.812908,139.0982603,0.151879505,7132847.417,24700000.0,85400000,1,85400000,14200000.0,34900000.0,85400000,1,183461,36692.2,70249.47116,161217,54,0,0,0,0,220,200,0.081781272,0.070098233,0,4344,850.4285714,1567.308212,2456455.033,0,0,0,0,1,0,0,0,0,915.8461538,44.42857143,1932.5,220,0,0,0,0,0,0,7,311,6,11595,251,235,2,20,5.0,0.0,5,5,85400000.0,0.0,85400000,85400000,DoS Hulk,1
53,91436,1,1,49,191,49,49,49.0,0.0,191,191,191.0,0.0,2624.7867360777,21.8732228006,91436.0,0.0,91436,91436,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10.9366114003,10.9366114003,49,191,96.3333333333,81.9837382249,6721.3333333333,0,0,0,0,0,0,0,0,1,144.5,49.0,191.0,32,0,0,0,0,0,0,1,49,1,191,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
